dataname,debias_method,epochs,seed,debias_attr,reg_weight,temp,der1,ratio,f1_0,f1_1,f1_2,link
LastFM,opposite,200,100,0,10.0,1.0,0.2,5.0,0.7591815320041972,0.7224554039874082,0.6883525708289612,0.4948725272586013
LastFM,opposite,200,100,1,10.0,1.0,0.2,5.0,0.7518363064008394,0.7161594963273872,0.6825813221406086,0.49397188559022537
LastFM,opposite,200,100,2,10.0,1.0,0.2,5.0,0.7565582371458552,0.7182581322140608,0.6846799580272823,0.49734648275914495
LastFM,opposite,200,100,0,10.0,1.0,0.2,10.0,0.7602308499475341,0.7229800629590766,0.6820566631689402,0.49211702969043547
LastFM,opposite,200,100,1,10.0,1.0,0.2,10.0,0.7570828961175237,0.7182581322140608,0.6836306400839455,0.49414903958479117
LastFM,opposite,200,100,2,10.0,1.0,0.2,10.0,0.75498426023085,0.7203567681007346,0.6846799580272823,0.49678698924998277
LastFM,opposite,200,100,0,10.0,1.0,0.2,20.0,0.7602308499475341,0.7193074501573976,0.6852046169989506,0.49411136135602113
LastFM,opposite,200,100,1,10.0,1.0,0.2,20.0,0.7581322140608605,0.7161594963273872,0.6804826862539349,0.49346345437467215
LastFM,opposite,200,100,2,10.0,1.0,0.2,20.0,0.7534102833158447,0.7214060860440714,0.6794333683105981,0.4974417863606792
LastFM,aug,200,100,0,10.0,1.0,0.2,5.0,0.7528856243441763,0.7219307450157396,0.6720881427072403,0.4951785887200448
LastFM,aug,200,100,1,10.0,1.0,0.2,5.0,0.75498426023085,0.7240293809024134,0.6804826862539349,0.4960511501995054
LastFM,aug,200,100,2,10.0,1.0,0.2,5.0,0.7565582371458552,0.7214060860440714,0.6736621196222455,0.4935638883317001
LastFM,none,200,100,2,10.0,1.0,0.2,5.0,0.7591815320041972,0.7193074501573976,0.6815320041972718,0.4959233121240702
LastFM,none,200,100,1,10.0,1.0,0.2,5.0,0.7586568730325288,0.7177334732423925,0.6825813221406086,0.49580649597712406
LastFM,none,200,100,0,10.0,1.0,0.2,5.0,0.7597061909758657,0.7187827911857292,0.6810073452256034,0.49593843530040554
LastFM,none,200,100,2,10.0,1.0,0.2,10.0,0.7591815320041972,0.7193074501573976,0.6815320041972718,0.4959233121240702
LastFM,none,200,100,1,10.0,1.0,0.2,10.0,0.7586568730325288,0.7177334732423925,0.6825813221406086,0.49580649597712406
LastFM,none,200,100,0,10.0,1.0,0.2,10.0,0.7597061909758657,0.7187827911857292,0.6810073452256034,0.49593843530040554
LastFM,none,200,100,2,10.0,1.0,0.2,20.0,0.7591815320041972,0.7193074501573976,0.6815320041972718,0.4959233121240702
LastFM,none,200,100,1,10.0,1.0,0.2,20.0,0.7586568730325288,0.7177334732423925,0.6825813221406086,0.49580649597712406
LastFM,none,200,100,0,10.0,1.0,0.2,20.0,0.7597061909758657,0.7187827911857292,0.6810073452256034,0.49593843530040554
LastFM,aug,200,100,0,10.0,1.0,0.2,10.0,0.7523609653725079,0.7156348373557188,0.6747114375655824,0.49486819787187025
LastFM,aug,200,100,1,10.0,1.0,0.2,10.0,0.7534102833158447,0.7245540398740817,0.6757607555089192,0.49617990179325233
LastFM,random,200,100,2,10.0,1.0,0.2,5.0,0.5083945435466947,0.49737670514165794,0.5125918153200419,0.06570815616476239
LastFM,random,200,100,1,10.0,1.0,0.2,5.0,0.5083945435466947,0.49737670514165794,0.5125918153200419,0.06570815616476239
LastFM,random,200,100,0,10.0,1.0,0.2,5.0,0.5083945435466947,0.49737670514165794,0.5125918153200419,0.06570815616476239
LastFM,random,200,100,2,10.0,1.0,0.2,10.0,0.5083945435466947,0.49737670514165794,0.5125918153200419,0.06570815616476239
LastFM,random,200,100,1,10.0,1.0,0.2,10.0,0.5083945435466947,0.49737670514165794,0.5125918153200419,0.06570815616476239
LastFM,random,200,100,0,10.0,1.0,0.2,10.0,0.5083945435466947,0.49737670514165794,0.5125918153200419,0.06570815616476239
LastFM,random,200,100,2,10.0,1.0,0.2,20.0,0.5083945435466947,0.49737670514165794,0.5125918153200419,0.06570815616476239
LastFM,random,200,100,1,10.0,1.0,0.2,20.0,0.5083945435466947,0.49737670514165794,0.5125918153200419,0.06570815616476239
LastFM,random,200,100,0,10.0,1.0,0.2,20.0,0.5083945435466947,0.49737670514165794,0.5125918153200419,0.06570815616476239
LastFM,aug,200,100,2,10.0,1.0,0.2,10.0,0.7581322140608605,0.726128016789087,0.6673662119622246,0.49276796837290815
LastFM,aug,200,100,0,10.0,1.0,0.2,20.0,0.7523609653725079,0.7161594963273872,0.6768100734522561,0.495590063352506
LastFM,opposite,200,100,2,10.0,1.0,0.2,5.0,0.7544596012591815,0.7198321091290661,0.6852046169989506,0.49743472179843606
LastFM,aug,200,100,1,10.0,1.0,0.2,20.0,0.7518363064008394,0.7229800629590766,0.6773347324239245,0.495801542412915
LastFM,aug,200,100,2,10.0,1.0,0.2,5.0,0.7586568730325288,0.7229800629590766,0.6757607555089192,0.4935583239043605
LastFM,aug,200,100,2,10.0,1.0,0.2,20.0,0.7649527806925498,0.723504721930745,0.6668415529905561,0.4916493050294209
LastFM,aug-n,200,100,2,10.0,1.0,0.2,5.0,0.7597061909758657,0.7193074501573976,0.6825813221406086,0.49602091556976047
LastFM,aug-n,200,100,0,10.0,1.0,0.2,5.0,0.7602308499475341,0.7193074501573976,0.6825813221406086,0.4956887675950084
LastFM,aug-n,200,100,1,10.0,1.0,0.2,5.0,0.7602308499475341,0.7166841552990556,0.6810073452256034,0.49584966421608756
LastFM,aug-r,200,100,2,10.0,1.0,0.2,5.0,0.7523609653725079,0.7193074501573976,0.6589716684155299,0.44395431615793157
LastFM,aug-n,200,100,2,10.0,1.0,0.2,5.0,0.7597061909758657,0.7187827911857292,0.6825813221406086,0.4958498435388874
LastFM,opposite-r,200,100,2,10.0,1.0,0.2,5.0,0.7471143756558237,0.710912906610703,0.6563483735571878,0.4494085264635714
LastFM,aug-n,200,100,0,10.0,1.0,0.2,10.0,0.7591815320041972,0.7182581322140608,0.6810073452256034,0.4957210676915338
LastFM,aug-n,200,100,1,10.0,1.0,0.2,10.0,0.7597061909758657,0.7182581322140608,0.6815320041972718,0.49558024286309255
