dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,f1_g0_base,f1_gX_base,f1_g0_lock,f1_gX_lock,d_g0,d_gX,H_overall,H_g0_base,H_gX_base,H_g0gX_base,H_g0_lock,H_gX_lock,H_g0gX_lock,d_H_g0,d_H_gX,d_H_g0gX,num_classes,edges_modified,orig_edges
cora,124,config2.yml,random,0.1,30,sll,0.25,0.7252747252747253,0.7390817469204927,0.36996336996337,0.6763717805151176,-0.48989898989898983,-0.08484848484848477,0.8099658961727927,0.7916666666666666,0.8075294117647058,0.8099658961727927,0.1414027149321267,0.7946793997271487,0.5723310170562224,-0.8213860442962609,-0.015912748006881597,-0.29338874666134696,7,2637,5278
cora,124,config2.yml,random,0.1,30,sll_no_g,0.25,0.7032967032967034,0.7346024636058229,0.4542124542124542,0.7357222844344905,-0.35416666666666674,0.0015243902439026564,0.8099658961727927,0.7916666666666666,0.8075294117647058,0.8099658961727927,0.32142857142857145,0.7983156028368794,0.6793847081888101,-0.593984962406015,-0.011409874109342154,-0.16121813103613097,7,1355,5278
cora,124,config2.yml,random,0.1,30,noise,0.25,0.706959706959707,0.7569988801791714,0.5604395604395604,0.7368421052631579,-0.20725388601036274,-0.026627218934911365,0.8099658961727927,0.7916666666666666,0.8075294117647058,0.8099658961727927,0.19394823186292381,0.8075294117647058,0.5981437351059827,-0.7550127597520961,0.0,-0.26151985172178316,7,2699,5278
citeseer,124,config2.yml,random,0.1,30,sll,0.25,0.5975975975975976,0.6157303370786517,0.42342342342342343,0.5831460674157304,-0.29145728643216073,-0.05291970802919696,0.7390550498482878,0.8,0.7435897435897436,0.7390550498482878,0.14,0.7215879605604567,0.5284374083846379,-0.825,-0.029588604763523766,-0.2849823453704635,6,2332,4614
citeseer,124,config2.yml,random,0.1,30,sll_no_g,0.25,0.6066066066066066,0.6078651685393258,0.40540540540540543,0.5887640449438202,-0.33168316831683164,-0.031423290203327216,0.7390550498482878,0.8,0.7435897435897436,0.7390550498482878,0.3181818181818182,0.7214463840399002,0.6167788710512687,-0.6022727272727273,-0.029779000773927287,-0.16544935160394317,6,1303,4614
citeseer,124,config2.yml,random,0.1,30,noise,0.25,0.5855855855855856,0.6191011235955056,0.3663663663663664,0.6101123595505618,-0.37435897435897436,-0.014519056261343083,0.7390550498482878,0.8,0.7435897435897436,0.7390550498482878,0.18801563178462874,0.7435897435897436,0.5539871944121071,-0.7649804602692141,0.0,-0.25041146187171204,6,2260,4614
Polblogs,124,config2.yml,random,0.1,30,sll,0.25,0.8387096774193549,0.8665105386416861,0.5225806451612903,0.7622950819672131,-0.37692307692307697,-0.12027027027027028,0.905773257553096,0.9084967320261438,0.9061224489795918,0.905773257553096,0.44016649323621226,0.9012380816849296,0.8235264330565121,-0.5155001908982699,-0.0053904053477128325,-0.09080288450861299,2,3039,16715
Polblogs,124,config2.yml,random,0.1,30,sll_no_g,0.25,0.8322580645161292,0.8688524590163934,0.5161290322580645,0.8501170960187352,-0.3798449612403102,-0.021563342318059453,0.905773257553096,0.9084967320261438,0.9061224489795918,0.905773257553096,0.8059701492537313,0.9047517579373535,0.8813241723922548,-0.11285300118114464,-0.001512699573641371,-0.026992500559013265,2,900,16715
Polblogs,124,config2.yml,random,0.1,30,noise,0.25,0.8322580645161292,0.8688524590163934,0.6129032258064516,0.8840749414519906,-0.2635658914728683,0.0175202156334232,0.905773257553096,0.9084967320261438,0.9061224489795918,0.905773257553096,0.49669986799471977,0.9061224489795918,0.768829082145009,-0.45327280717127966,0.0,-0.1511903495340934,2,8398,16715
BlogCatalog,124,config2.yml,random,0.1,30,sll,0.25,0.6230769230769231,0.6585365853658537,0.5057692307692307,0.6729490022172949,-0.18827160493827164,0.021885521885521873,0.40107602638826617,0.3685333333333333,0.4054171652344175,0.40107602638826617,0.17570391005870062,0.40516386022089446,0.3791344651152833,-0.5232346868884752,-0.0006248009093956067,-0.054706738446994786,6,15447,171743
