dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,d_g0,d_gX,H_overall,H_g0_base,H_gX_base,H_g0gX_base,H_g0_lock,H_gX_lock,H_g0gX_lock,d_H_g0,d_H_gX,d_H_g0gX,changes_g0,changes_gX,changes_g0gX,num_classes,edges_modified,orig_edges,d_g0_0,d_gX_0,d_g0_1,d_gX_1
cora,124,config.yaml,random,0.1,30,sll_no_g,0.25,0.0,-0.050660792951541744,0.8099658961727927,0.7916666666666666,0.8075294117647058,0.8099658961727927,0.2982456140350877,0.7841952093127379,0.661251504211793,-0.6232686980609419,-0.02889579266342183,-0.1836057452093933,360.0,434.0,1946.0,7,1370,5278,-0.2702702581882477,0.0,-0.017405062913894653,-0.050660792738199234
cora,124,config.yaml,random,0.1,30,noise,0.25,0.22916666666666657,-0.002217294900221825,0.8099658961727927,0.7916666666666666,0.8075294117647058,0.8099658961727927,0.18097361575622445,0.8075294117647058,0.5963893447796995,-0.7714017485184533,0.0,-0.2636858569012271,5290.0,0.0,0.0,7,2645,5278,-0.28358209133148193,0.2291666716337204,-0.03803486377000809,-0.002217294881120324
cora,124,config.yaml,random,0.1,30,heuristic,0.25,-0.2884615384615385,-0.060085836909871286,0.8099658961727927,0.7916666666666666,0.8075294117647058,0.8099658961727927,nan,0.8075294117647058,0.8075294117647058,nan,0.0,-0.003008132094943261,96.0,0.0,1960.0,7,1028,5278,-0.3970588147640228,-0.2884615361690521,0.018003273755311966,-0.06008583679795265
citeseer,124,config.yaml,random,0.1,30,sll_no_g,0.25,0.0,-0.0025641025641024184,0.7390550498482878,0.8,0.7435897435897436,0.7390550498482878,0.35514018691588783,0.7224844720496895,0.6224969528121191,-0.5560747663551402,-0.02838295138145213,-0.15771233423017078,152.0,782.0,1572.0,6,1253,4614,-0.22413793206214905,0.0,-0.1111111119389534,-0.0025641026441007853
citeseer,124,config.yaml,random,0.1,30,noise,0.25,0.0,0.0,0.7390550498482878,0.8,0.7435897435897436,0.7390550498482878,0.1818969250757904,0.7435897435897436,0.5516138412329166,-0.7726288436552621,0.0,-0.2536227966426167,4540.0,0.0,0.0,6,2270,4614,-0.1090909093618393,0.0,-0.010989011265337467,0.0
citeseer,124,config.yaml,random,0.1,30,heuristic,0.25,-0.011235955056179574,0.0012853470437015992,0.7390550498482878,0.8,0.7435897435897436,0.7390550498482878,nan,0.7435897435897436,0.7435897435897436,nan,0.0,0.006135799684186773,90.0,0.0,1650.0,6,870,4614,-0.6551724076271057,-0.01123595517128706,-0.05065666139125824,0.0012853470398113132
flickr,124,config.yaml,random,0.1,30,noise,0.25,0.0,0.0,0.2385854557892366,0.23284132841328414,0.24004579769547668,0.2385854557892366,0.11168449443456333,0.24004579769547668,0.19603402609414633,-0.5203407608277867,0.0,-0.1783487998223985,238534.0,0.0,0.0,9,119267,239738,-0.7659574747085571,0.0,-0.056338027119636536,0.0
flickr,124,config.yaml,random,0.1,30,heuristic,0.25,0.0,0.0,0.2385854557892366,0.23284132841328414,0.24004579769547668,0.2385854557892366,nan,0.24004579769547668,0.24004579769547668,nan,0.0,0.00612083373401493,5420.0,0.0,91504.0,9,48462,239738,-0.7872340679168701,0.0,0.046296294778585434,0.0
Polblogs,124,config.yaml,random,0.1,30,sll_no_g,0.25,0.0,0.0,0.905773257553096,0.9084967320261438,0.9061224489795918,0.905773257553096,0.7220447284345048,0.9133567102327064,0.8300950016708837,-0.20523134208288316,0.007983756788347137,-0.08355099386203296,320.0,3978.0,4234.0,2,4266,16715,-0.3205128312110901,0.0,0.06730769574642181,0.0
Polblogs,124,config.yaml,random,0.1,30,noise,0.25,0.0,0.0,0.905773257553096,0.9084967320261438,0.9061224489795918,0.905773257553096,0.501584979273348,0.9061224489795918,0.7718866095945728,-0.44789567029624283,0.0,-0.14781475037164568,16534.0,0.0,0.0,2,8267,16715,-0.350649356842041,0.0,-0.014647137373685837,0.0
Polblogs,124,config.yaml,random,0.1,30,heuristic,0.25,0.0,0.0,0.905773257553096,0.9084967320261438,0.9061224489795918,0.905773257553096,nan,0.9061224489795918,0.9061224489795918,nan,0.0,0.0003855174830830553,306.0,0.0,5684.0,2,2995,16715,-0.3037974536418915,0.0,-0.018666666001081467,0.0
cora,124,config.yaml,bias,0.1,30,sll_no_g,0.25,0.12727272727272718,0.09722222222222215,0.8099658961727927,0.8703703703703703,0.8101236295777934,0.8099658961727927,0.35858585858585856,0.7955456570155902,0.6771424191323011,-0.5880077369439072,-0.01799475046765476,-0.16398650568882212,288.0,406.0,1800.0,7,1247,5278,-0.2602739632129669,0.12727272510528564,-0.0181818176060915,0.0972222238779068
cora,124,config.yaml,bias,0.1,30,noise,0.25,0.15789473684210534,-0.03211991434689506,0.8099658961727927,0.8703703703703703,0.8101236295777934,0.8099658961727927,0.18297101449275363,0.8101236295777934,0.592810621242485,-0.7897779833487512,0.0,-0.2681042201361788,5428.0,0.0,0.0,7,2714,5278,-0.23456789553165436,0.15789473056793213,-0.03937007859349251,-0.03211991488933563
cora,124,config.yaml,bias,0.1,30,heuristic,0.25,-0.3389830508474576,-0.08506224066390046,0.8099658961727927,0.8703703703703703,0.8101236295777934,0.8099658961727927,nan,0.8101236295777934,0.8101236295777934,nan,0.0,0.00019474079803360398,108.0,0.0,1874.0,7,991,5278,-0.9146341681480408,-0.33898305892944336,-0.026479750871658325,-0.08506224304437637
