dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,f1_g0_base,f1_gX_base,f1_g0_lock,f1_gX_lock,d_g0,d_gX,H_overall,H_g0_base,H_gX_base,H_g0gX_base,H_g0_lock,H_gX_lock,H_g0gX_lock,d_H_g0,d_H_gX,d_H_g0gX,num_classes,edges_modified,orig_edges
cora,123,config.yaml,random,0.1,30,sll,0.25,0.7403508771929824,0.7270718232044199,0.3894736842105263,0.6861878453038674,-0.47393364928909953,-0.056231003039513595,0.8099658961727927,0.8461538461538461,0.8168714555765595,0.8099658961727927,0.14705882352941177,0.8018953068592057,0.5744815376833586,-0.8262032085561497,-0.01833354393168675,-0.29073367113619486,7,2630,5278
cora,123,config.yaml,random,0.1,30,sll_no_g,0.25,0.7263157894736842,0.7248618784530386,0.5368421052631579,0.7204419889502761,-0.26086956521739135,-0.006097560975609864,0.8099658961727927,0.8461538461538461,0.8168714555765595,0.8099658961727927,0.3374233128834356,0.7988656195462478,0.6828682868286828,-0.6012269938650308,-0.02204243508252216,-0.15691723558320744,7,1390,5278
cora,123,config.yaml,random,0.1,30,noise,0.25,0.6877192982456141,0.7215469613259669,0.5824561403508772,0.6983425414364641,-0.1530612244897959,-0.032159264931087235,0.8099658961727927,0.8461538461538461,0.8168714555765595,0.8099658961727927,0.20676831535886947,0.8168714555765595,0.604801010739103,-0.7556374454849725,0.0,-0.253300646858249,7,2639,5278
cora,123,config.yaml,random,0.1,30,heuristic,0.25,0.7263157894736842,0.712707182320442,0.15789473684210525,0.7171270718232045,-0.7826086956521738,0.006201550387597008,0.8099658961727927,0.8461538461538461,0.8168714555765595,0.8099658961727927,nan,0.8168714555765595,0.8168714555765595,nan,0.0,0.008525740943410805,7,1046,5278
citeseer,123,config.yaml,random,0.1,30,sll,0.25,0.6239316239316239,0.605524861878453,0.3162393162393162,0.5425414364640884,-0.4931506849315069,-0.10401459854014598,0.7390550498482878,0.7709923664122137,0.7322940464991264,0.7390550498482878,0.16534181240063592,0.7090344292001035,0.5217834766137258,-0.7855467581734326,-0.03176267431125521,-0.29398564190741033,6,2373,4614
citeseer,123,config.yaml,random,0.1,30,sll_no_g,0.25,0.6353276353276354,0.5723756906077349,0.43874643874643876,0.5403314917127072,-0.3094170403587444,-0.05598455598455599,0.7390550498482878,0.7709923664122137,0.7322940464991264,0.7390550498482878,0.4369747899159664,0.7092108601877696,0.6315883829329508,-0.43323071802978613,-0.03152174515375416,-0.14541090942737975,6,1088,4614
citeseer,123,config.yaml,random,0.1,30,noise,0.25,0.6324786324786325,0.5955801104972376,0.47293447293447294,0.5524861878453039,-0.25225225225225223,-0.07235621521335803,0.7390550498482878,0.7709923664122137,0.7322940464991264,0.7390550498482878,0.19250999368819693,0.7322940464991264,0.5511913357400722,-0.7503088200677841,0.0,-0.2541944800279493,6,2323,4614
citeseer,123,config.yaml,random,0.1,30,heuristic,0.25,0.6296296296296297,0.5911602209944752,0.2336182336182336,0.5414364640883977,-0.6289592760180995,-0.08411214953271043,0.7390550498482878,0.7709923664122137,0.7322940464991264,0.7390550498482878,nan,0.7322940464991264,0.7322940464991264,nan,0.0,-0.009148172860126317,6,893,4614
Polblogs,123,config.yaml,random,0.1,30,sll,0.25,0.8410596026490065,0.8801410105757932,0.4768211920529801,0.8178613396004699,-0.4330708661417322,-0.07076101468624847,0.905773257553096,0.8993288590604027,0.9049649490496495,0.905773257553096,0.4136722173531989,0.8984946830548267,0.8122110480911301,-0.5400211911520401,-0.007149742099533878,-0.1032953983590991,2,4300,16715
Polblogs,123,config.yaml,random,0.1,30,sll_no_g,0.25,0.8344370860927153,0.8754406580493536,0.6754966887417219,0.8730904817861339,-0.19047619047619052,-0.0026845637583891575,0.905773257553096,0.8993288590604027,0.9049649490496495,0.905773257553096,0.7738693467336684,0.9056510710259301,0.8894098810612991,-0.1395034875871897,0.000758175194521211,-0.018065643200818007,2,775,16715
Polblogs,123,config.yaml,random,0.1,30,noise,0.25,0.847682119205298,0.8777908343125734,0.5364238410596026,0.881316098707403,-0.36718750000000006,0.004016064257028083,0.905773257553096,0.8993288590604027,0.9049649490496495,0.905773257553096,0.49265785609397944,0.9049649490496495,0.769342711617754,-0.45219387643281395,0.0,-0.1506232876690384,2,8245,16715
Polblogs,123,config.yaml,random,0.1,30,heuristic,0.25,0.8410596026490065,0.8766157461809636,0.47019867549668876,0.8730904817861339,-0.44094488188976366,-0.004021447721179721,0.905773257553096,0.8993288590604027,0.9049649490496495,0.905773257553096,nan,0.9049649490496495,0.9049649490496495,nan,0.0,-0.0008923960789371216,2,2878,16715
BlogCatalog,123,config.yaml,random,0.1,30,sll,0.25,0.6618181818181819,0.6849162011173184,0.2145454545454545,0.6916201117318436,-0.675824175824176,0.009787928221859697,0.40107602638826617,0.3796498905908096,0.403435864820329,0.40107602638826617,0.1675057082336112,0.40208974450726404,0.31568971514102256,-0.5587889990619002,-0.00333664017120656,-0.21289308168368165,6,85892,171743
BlogCatalog,123,config.yaml,random,0.1,30,sll_no_g,0.25,0.6909090909090909,0.7072625698324022,0.5690909090909091,0.711731843575419,-0.17631578947368423,0.006319115323854654,0.40107602638826617,0.3796498905908096,0.403435864820329,0.40107602638826617,0.2646402677077524,0.40376143317172786,0.38195886322346223,-0.3029360095536435,0.0008069891147229691,-0.04766468676015394,6,13407,171743
