dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,lr,s,u,H0_s,H1_s,H0_u,H1_u,MI,dacc_s_g0,dacc_s_gX,dacc_u_g0,dacc_u_gX,e,edges_modified,classes_s,classes_u,num_edges,num_nodes
BlogCatalog,123,config.yml,random,0.1,30,sll_no_g,0.25,500,taskB,taskC,0.5369360032141048,0.5313948075580288,0.5117006224416716,0.5103573771185544,0.002825789153575897,-0.18367345765797813,-0.0582329031183401,0.042553188656184855,-0.012195127240348953,0.15579861595547392,17575,2,2,343486,5196
BlogCatalog,123,config.yml,random,0.1,30,sll_no_g,0.25,500,taskB,taskA,0.5369360032141048,0.5315742491073304,0.40107602638826617,0.38222537282083596,0.14878023229539394,-0.07017543089136671,0.06165695215014301,0.0,0.04368929231319027,0.1755216753547,19091,2,6,343486,5196
BlogCatalog,123,config.yml,random,0.1,30,sll_no_g,0.25,500,taskC,taskB,0.5117006224416716,0.5112176498337923,0.5369360032141048,0.5349639609000449,0.002825789153575897,-0.021276594328092428,0.012371138783162062,0.14583338901866197,0.0442656101909406,0.22374673232085707,10795,2,2,343486,5196
BlogCatalog,123,config.yml,random,0.1,30,sll_no_g,0.25,500,taskA,taskB,0.40107602638826617,0.3782684763015587,0.5369360032141048,0.5344661223624217,0.14878023229539394,-0.11111110145295135,-0.02079996531219494,0.1666666473503477,0.037109442561815906,0.29408722605292004,17163,6,2,343486,5196
cora,123,config.yml,random,0.1,30,sll_no_g,0.25,1000,taskB,taskC,0.6885183781735505,0.649430594028932,0.8353543008715423,0.8454909202831641,0.0015414711087942123,0.049180343086377566,-0.02999995684623667,0.0,-0.01705237203115849,-0.09623267196377272,1222,2,2,10556,2708
cora,123,config.yml,random,0.1,30,sll_no_g,0.25,1000,taskB,taskA,0.6885183781735505,0.6645839683023469,0.8099658961727927,0.7564766839378239,0.1309946496039629,0.03508766352781997,0.09660112962118966,0.08823523778713468,0.06009244480025427,0.20984114868075865,1286,2,7,10556,2708
cora,123,config.yml,random,0.1,30,sll_no_g,0.25,1000,taskC,taskB,0.8353543008715423,0.7207442718745195,0.6885183781735505,0.6529294171920652,0.0015414711087942123,-0.03614458982060909,-0.014833106218202687,0.0,0.008576347740867206,0.02988783134327361,1227,2,2,10556,2708
cora,123,config.yml,random,0.1,30,sll_no_g,0.25,1000,taskA,taskB,0.8099658961727927,0.6962403649520214,0.6885183781735505,0.6778354569765612,0.1309946496039629,-0.26470587990378847,-0.061933474430498237,0.015384591260605752,-0.015050145955159955,0.20310685077873603,1079,7,2,10556,2708
chameleon,123,config.yml,random,0.1,30,sll_no_g,0.25,1000,taskB,taskC,0.9459373306557012,0.8630717036961457,0.8430078735137547,0.8079483712981149,0.17111899703741074,-0.24374997628154174,-0.012151543586688705,0.032000042045594625,0.004405350673462171,0.2680038254139098,7902,2,2,62742,2277
chameleon,123,config.yml,random,0.1,30,sll_no_g,0.25,1000,taskB,taskA,0.9459373306557012,0.851504914004914,0.23126454368684454,0.21913390663390664,0.02017130615422502,-0.26708074380556684,-0.01221265078434052,-0.29702965466897163,-0.026410562388302153,-0.06857212403604747,7763,2,5,62742,2277
chameleon,123,config.yml,random,0.1,30,sll_no_g,0.25,1000,taskC,taskB,0.8430078735137547,0.7888897390772056,0.9459373306557012,0.8800724360445839,0.17111899703741074,-0.1732283353480337,-0.007005266714354858,-0.03184714344985276,-0.006460872478630893,0.12791505270519518,7856,2,2,62742,2277
chameleon,123,config.yml,random,0.1,30,sll_no_g,0.25,1000,taskA,taskB,0.23126454368684454,0.22023461156772436,0.9459373306557012,0.8734064480012214,0.020171400741674006,-0.47524751645830826,-0.059952094336428695,0.01863353307644245,-0.010775836012973649,0.42315311918534837,8014,5,2,62742,2277
BlogCatalog,123,config.yml,many_clusters,0.1,30,sll_no_g,0.25,500,taskB,taskC,0.5369360032141048,0.5262164916210136,0.5117006224416716,0.5112997770311853,0.002825789153575897,-0.3857142956402834,-0.033402934419953574,0.0,0.025806402599402777,0.3781177638197326,27317,2,2,343486,5196
BlogCatalog,123,config.yml,many_clusters,0.1,30,sll_no_g,0.25,500,taskB,taskA,0.5369360032141048,0.5274494958358195,0.40107602638826617,0.3713165429028425,0.14878023229539394,-0.36486487596726375,0.05405413387885406,-0.12345678549026527,-0.030546581182753874,0.2649156431730986,28650,2,6,343486,5196
BlogCatalog,123,config.yml,many_clusters,0.1,30,sll_no_g,0.25,500,taskC,taskB,0.5117006224416716,0.5095133055884559,0.5369360032141048,0.5350704669180367,0.002825789153575897,-0.015872966855741306,0.03663795813309053,-0.22857140871943313,0.039292692211433104,-0.13676779151916818,12679,2,2,343486,5196
BlogCatalog,123,config.yml,many_clusters,0.1,30,sll_no_g,0.25,500,taskA,taskB,0.40107602638826617,0.36407913056338964,0.5369360032141048,0.5323718259290803,0.14878023229539394,-0.24691357098053054,-0.006451658017923786,-0.11428570435971656,-0.02092042572284747,0.10525578288004273,25018,6,2,343486,5196
