label,index,num_edges,num_nodes,density,num_triangles,max_diameter,seed,subgraph_size,num_save,batch_size,timesteps,epochs,method,dataset
train,0,46,16,2.875,9,8,123,16,50,64,200,5,walk,cora
train,1,42,16,2.625,11,8,123,16,50,64,200,5,walk,cora
train,2,34,16,2.125,0,9,123,16,50,64,200,5,walk,cora
train,3,34,16,2.125,2,11,123,16,50,64,200,5,walk,cora
train,4,46,16,2.875,9,8,123,16,50,64,200,5,walk,cora
train,5,38,16,2.375,3,8,123,16,50,64,200,5,walk,cora
train,6,34,16,2.125,1,9,123,16,50,64,200,5,walk,cora
train,7,34,16,2.125,2,8,123,16,50,64,200,5,walk,cora
train,8,32,16,2.0,0,9,123,16,50,64,200,5,walk,cora
train,9,40,16,2.5,5,10,123,16,50,64,200,5,walk,cora
train,10,40,16,2.5,2,8,123,16,50,64,200,5,walk,cora
train,11,36,16,2.25,3,8,123,16,50,64,200,5,walk,cora
train,12,34,16,2.125,1,9,123,16,50,64,200,5,walk,cora
train,13,50,16,3.125,13,3,123,16,50,64,200,5,walk,cora
train,14,40,16,2.5,6,9,123,16,50,64,200,5,walk,cora
train,15,44,16,2.75,8,7,123,16,50,64,200,5,walk,cora
train,16,62,16,3.875,20,6,123,16,50,64,200,5,walk,cora
train,17,84,16,5.25,37,3,123,16,50,64,200,5,walk,cora
train,18,42,16,2.625,5,5,123,16,50,64,200,5,walk,cora
train,19,46,16,2.875,10,5,123,16,50,64,200,5,walk,cora
train,20,38,16,2.375,2,9,123,16,50,64,200,5,walk,cora
train,21,36,16,2.25,3,10,123,16,50,64,200,5,walk,cora
train,22,46,16,2.875,8,6,123,16,50,64,200,5,walk,cora
train,23,32,16,2.0,1,11,123,16,50,64,200,5,walk,cora
train,24,50,16,3.125,12,7,123,16,50,64,200,5,walk,cora
train,25,48,16,3.0,6,7,123,16,50,64,200,5,walk,cora
train,26,34,16,2.125,1,10,123,16,50,64,200,5,walk,cora
train,27,32,16,2.0,2,7,123,16,50,64,200,5,walk,cora
train,28,42,16,2.625,8,4,123,16,50,64,200,5,walk,cora
train,29,38,16,2.375,2,6,123,16,50,64,200,5,walk,cora
train,30,32,16,2.0,1,8,123,16,50,64,200,5,walk,cora
train,31,34,16,2.125,1,9,123,16,50,64,200,5,walk,cora
train,32,46,16,2.875,5,5,123,16,50,64,200,5,walk,cora
train,33,30,16,1.875,1,7,123,16,50,64,200,5,walk,cora
train,34,32,16,2.0,1,11,123,16,50,64,200,5,walk,cora
train,35,42,16,2.625,4,7,123,16,50,64,200,5,walk,cora
train,36,44,16,2.75,5,6,123,16,50,64,200,5,walk,cora
train,37,56,16,3.5,16,3,123,16,50,64,200,5,walk,cora
train,38,40,16,2.5,4,5,123,16,50,64,200,5,walk,cora
train,39,38,16,2.375,3,9,123,16,50,64,200,5,walk,cora
train,40,46,16,2.875,7,5,123,16,50,64,200,5,walk,cora
train,41,46,16,2.875,9,7,123,16,50,64,200,5,walk,cora
train,42,32,16,2.0,0,12,123,16,50,64,200,5,walk,cora
train,43,50,16,3.125,12,5,123,16,50,64,200,5,walk,cora
train,44,28,16,1.75,0,9,123,16,50,64,200,5,walk,cora
train,45,32,16,2.0,1,10,123,16,50,64,200,5,walk,cora
train,46,36,16,2.25,2,8,123,16,50,64,200,5,walk,cora
train,47,68,16,4.25,25,3,123,16,50,64,200,5,walk,cora
train,48,44,16,2.75,6,7,123,16,50,64,200,5,walk,cora
train,49,52,16,3.25,13,9,123,16,50,64,200,5,walk,cora
pred,0,57,16,3.5625,9,4,123,16,50,64,200,5,walk,cora
pred,1,34,16,2.125,1,6,123,16,50,64,200,5,walk,cora
pred,2,36,16,2.25,1,6,123,16,50,64,200,5,walk,cora
pred,3,31,16,1.9375,1,8,123,16,50,64,200,5,walk,cora
pred,4,27,16,1.6875,2,6,123,16,50,64,200,5,walk,cora
pred,5,34,16,2.125,3,5,123,16,50,64,200,5,walk,cora
pred,6,27,16,1.6875,3,5,123,16,50,64,200,5,walk,cora
pred,7,39,16,2.4375,3,7,123,16,50,64,200,5,walk,cora
pred,8,37,16,2.3125,6,3,123,16,50,64,200,5,walk,cora
pred,9,35,16,2.1875,0,6,123,16,50,64,200,5,walk,cora
pred,10,41,16,2.5625,3,7,123,16,50,64,200,5,walk,cora
pred,11,38,16,2.375,1,8,123,16,50,64,200,5,walk,cora
pred,12,33,16,2.0625,1,7,123,16,50,64,200,5,walk,cora
pred,13,45,16,2.8125,3,6,123,16,50,64,200,5,walk,cora
pred,14,67,16,4.1875,13,3,123,16,50,64,200,5,walk,cora
pred,15,24,16,1.5,0,4,123,16,50,64,200,5,walk,cora
pred,16,37,16,2.3125,1,6,123,16,50,64,200,5,walk,cora
pred,17,33,16,2.0625,0,8,123,16,50,64,200,5,walk,cora
pred,18,37,16,2.3125,1,7,123,16,50,64,200,5,walk,cora
pred,19,26,16,1.625,2,8,123,16,50,64,200,5,walk,cora
pred,20,26,16,1.625,0,6,123,16,50,64,200,5,walk,cora
pred,21,59,16,3.6875,22,4,123,16,50,64,200,5,walk,cora
pred,22,36,16,2.25,3,7,123,16,50,64,200,5,walk,cora
pred,23,30,16,1.875,0,5,123,16,50,64,200,5,walk,cora
pred,24,50,16,3.125,4,5,123,16,50,64,200,5,walk,cora
pred,25,35,16,2.1875,0,7,123,16,50,64,200,5,walk,cora
pred,26,18,16,1.125,0,3,123,16,50,64,200,5,walk,cora
pred,27,37,16,2.3125,3,6,123,16,50,64,200,5,walk,cora
pred,28,39,16,2.4375,4,5,123,16,50,64,200,5,walk,cora
pred,29,37,16,2.3125,2,7,123,16,50,64,200,5,walk,cora
pred,30,28,16,1.75,0,9,123,16,50,64,200,5,walk,cora
pred,31,42,16,2.625,2,7,123,16,50,64,200,5,walk,cora
pred,32,46,16,2.875,5,4,123,16,50,64,200,5,walk,cora
pred,33,46,16,2.875,5,6,123,16,50,64,200,5,walk,cora
pred,34,49,16,3.0625,9,6,123,16,50,64,200,5,walk,cora
pred,35,33,16,2.0625,1,7,123,16,50,64,200,5,walk,cora
pred,36,42,16,2.625,3,7,123,16,50,64,200,5,walk,cora
pred,37,34,16,2.125,1,6,123,16,50,64,200,5,walk,cora
pred,38,36,16,2.25,6,3,123,16,50,64,200,5,walk,cora
