dataset,feature,entropy,information_gain,mutual_information,chi_sq
cora,0,0.052238933742046356,0.0021298855427581073,0.0021299071777320933,0.0024779309414952877
cora,1,0.09496013075113297,0.005267873953923349,0.005267952365102246,0.005775352969067171
cora,2,0.1731288880109787,0.0019249587843918337,0.0019249172182753682,0.0027470031200209633
cora,3,0.17698045074939728,0.0026766666303357223,0.002676669682841748,0.0035128838280797936
cora,4,0.33112791180610657,0.09895380121687403,0.09895382076501846,0.20474532339721918
cora,5,0.025943651795387268,0.001677473617698367,0.001677405172813451,0.0015585783512506168
cora,6,0.08545757830142975,0.009759130484618503,0.009759196604136378,0.016498238604981452
cora,7,0.029079947620630264,0.0031679628920387864,0.0031678655941504985,0.0034830675467674155
cora,8,0.09261035919189453,0.0035476636958681335,0.003547631698893383,0.0039243469218490645
cora,9,0.022730788215994835,0.0030880097975263844,0.0030879104597261176,0.004659128549064917
cora,10,0.04388607293367386,0.002828645039806517,0.002828518918249756,0.0035986557304568123
cora,11,0.032149359583854675,0.0020886591843369273,0.0020885555891254626,0.0034181601795353345
cora,12,0.09024365246295929,0.0041321647880348394,0.004132140697038267,0.007073276225128211
cora,13,0.06551086157560349,0.00705061386720425,0.00705052433477249,0.008675825512909796
cora,14,0.038115520030260086,0.0027210886075685475,0.0027210737025598064,0.0037396333700598916
cora,15,0.038115520030260086,0.0025276754772293325,0.0025276831001974642,0.0024911365217121784
cora,16,0.052238933742046356,0.00916020742492362,0.009160119559965096,0.016290261752146762
cora,17,0.03515917807817459,0.0009097600275956089,0.0009096802423300687,0.0010682836445994326
cora,18,0.052238933742046356,0.0030822204302121473,0.0030822169755992945,0.003566133436834207
cora,19,0.7353110313415527,0.1380175820646734,0.1380176718812436,0.17428776249289513
cora,20,0.012474066577851772,0.001593053999165709,0.0015929985638649669,0.0024322542644767964
cora,21,0.04102307930588722,0.005287432173704476,0.005287402796966489,0.00872454608179396
cora,22,0.0160186979919672,0.0013008004575802735,0.0013006979279452935,0.0016568672617722768
cora,23,0.06291317194700241,0.0037382110716717293,0.003738068728125654,0.003941138333175331
cora,24,0.012474066577851772,0.0013478764345211877,0.001347825069387909,0.0014734629648955888
cora,25,0.1672927439212799,0.004245142536334123,0.004245066142175347,0.005155509541509673
cora,26,0.1672927439212799,0.005927267722356272,0.005927216669078916,0.009188545474899001
cora,27,0.09961120039224625,0.0019814779946203676,0.001981434070330579,0.0017731118477968266
cora,28,0.029079947620630264,0.0042507419406685384,0.004250760641298257,0.006692364844639087
cora,29,0.025943651795387268,0.004502505634909983,0.004502481802774128,0.008310125447678729
cora,30,0.032149359583854675,0.013112632681559249,0.01311257662018761,0.0468321591761196
cora,31,0.0160186979919672,0.0029383922213113457,0.0029384324298007414,0.0046503810658578
cora,32,0.022730788215994835,0.0038348152171517776,0.003834721734165214,0.005130674218889908
cora,33,0.025943651795387268,0.0036952699427293435,0.003695179879287025,0.0063968793365347665
cora,34,0.05495308339595795,0.003959230963069195,0.0039592852554051206,0.00438180957462464
cora,35,0.06808297336101532,0.002698684401502019,0.0026988035097019747,0.004030360880278749
cora,36,0.029079947620630264,0.002672842231907911,0.0026728691154858097,0.002623580049657903
cora,37,0.025943651795387268,0.001513909728732648,0.0015138992021093145,0.0014596043301935424
cora,38,0.1513614058494568,0.025655636419452732,0.025655587494838983,0.05681730399373919
cora,39,0.3148866891860962,0.001620013536431375,0.0016200869267777307,0.0022435396385844797
cora,40,0.12200183421373367,0.03940756748426305,0.039407565840519965,0.09896643424872309
cora,41,0.29820120334625244,0.005092333941727256,0.0050923793751280755,0.0074906508380081505
cora,42,0.03515917807817459,0.0017591277371261163,0.0017591710056876764,0.001673645348091668
cora,43,0.025943651795387268,0.0019049800181296442,0.001905019256810192,0.002036152759956167
cora,44,0.12632595002651215,0.004876720736923024,0.004876663435425144,0.0047206187300616875
cora,45,0.06808297336101532,0.005309395884140297,0.0053093576862011105,0.010696090444980655
cora,46,0.038115520030260086,0.0027844620197241057,0.0027844663854921237,0.002671124555490678
cora,47,0.06551086157560349,0.007476221306450356,0.007476210419554263,0.018336500943405554
cora,48,0.10647308081388474,0.0051385429956051915,0.005138547130627558,0.005515939199540298
cora,49,0.025943651795387268,0.006020356961519098,0.006020350116159534,0.012441004964784952
cora,50,0.04670776426792145,0.013323593981690605,0.013323527105967514,0.04360193246975541
