date,seed,dataset,protect_size,reg_epochs,ptb_epochs,ptb_rate,ptb_sample_num,ptb_sample_size,base_g0,base_gX,d_g0,d_gX,t0_task,t0_g0,d_t0_g0,t0_gX,d_t0_gX,t1_task,t1_g0,d_t1_g0,t1_gX,d_t1_gX,t2_task,t2_g0,d_t2_g0,t2_gX,d_t2_gX,t3_task,t3_g0,d_t3_g0,t3_gX,d_t3_gX,t4_task,t4_g0,d_t4_g0,t4_gX,d_t4_gX
2022-04-04-23:08:03,100,cora,0.1,100,30,0.25,20,500,0.6940298080444336,0.7557377219200134,-0.46268652379512787,-0.0450819730758667,117,0.996268630027771,0.0,0.9959016442298889,-0.0012295246124267578,341,1.0,0.0,0.9954918026924133,0.00040984153747558594,272,0.996268630027771,0.0,0.9918032884597778,0.003278672695159912,1049,0.9402984976768494,0.0,0.938524603843689,0.017622947692871094,1409,0.9291044473648071,0.05597013235092163,0.9278688430786133,0.038524627685546875
2022-04-04-23:08:19,101,cora,0.1,100,30,0.25,20,500,0.7721088528633118,0.7605633735656738,-0.5238095372915268,-0.04266774654388428,941,0.9863945245742798,0.0,0.9838442802429199,0.007456481456756592,970,0.9863945245742798,0.006802737712860107,0.9884009957313538,0.0037282705307006836,607,0.9863945245742798,0.0,0.9908865094184875,0.0037282705307006836,918,0.976190447807312,0.006802737712860107,0.9817730188369751,0.007870733737945557,321,0.9897959232330322,0.006802678108215332,0.9871582388877869,0.004971027374267578
2022-04-04-23:08:35,102,cora,0.1,100,30,0.25,20,500,0.7752808928489685,0.7910692095756531,-0.5543071031570435,-0.05817288160324097,832,1.0,0.0,0.9938549995422363,0.00040966272354125977,305,0.9475655555725098,0.022471904754638672,0.9647685289382935,-0.01761573553085327,1119,0.9700374603271484,0.0037453174591064453,0.9754198789596558,-0.0028676390647888184,850,0.9962546825408936,0.0,0.9950839877128601,0.0,257,0.9887640476226807,0.007490634918212891,0.9881196022033691,0.0057353973388671875
2022-04-04-23:08:51,103,cora,0.1,100,30,0.25,20,500,0.7816901206970215,0.7875412702560425,-0.5211267471313477,-0.04207921028137207,629,0.9894366264343262,0.0035210847854614258,0.9909241199493408,-0.005775570869445801,89,0.9683098196983337,0.010563373565673828,0.9504950642585754,-0.01031351089477539,1428,0.9964788556098938,-0.003521144390106201,0.9773102402687073,0.0,872,0.98591548204422,0.007042229175567627,0.9702970385551453,-0.018151819705963135,771,0.9929577112197876,0.007042288780212402,0.9884488582611084,0.005775570869445801
2022-04-04-23:09:08,104,cora,0.1,100,30,0.25,20,500,0.7727272510528564,0.7576383352279663,-0.5314685106277466,-0.047481417655944824,1280,0.9860139489173889,0.01048952341079712,0.9768786430358887,-0.0020644068717956543,669,0.996503472328186,0.003496527671813965,0.9913294911384583,0.002477288246154785,546,0.9720279574394226,0.02097904682159424,0.9710983037948608,-0.03674650192260742,1046,0.9825174808502197,0.006992995738983154,0.9801816940307617,0.005780339241027832,1270,0.996503472328186,0.003496527671813965,0.9929810166358948,0.0012386441230773926
2022-04-04-23:09:26,100,citeseer,0.1,100,30,0.25,20,500,0.6949685215950012,0.6406145691871643,-0.49685531854629517,-0.07782226800918579,3482,0.9874213337898254,0.006289303302764893,0.9983300566673279,-0.0026720166206359863,151,0.9905660152435303,-0.012578606605529785,0.9953240156173706,-0.00033396482467651367,1724,0.9968553185462952,0.0,0.9953240156173706,-0.0013359785079956055,1735,0.9937106370925903,-0.006289303302764893,0.9963260293006897,-0.0023379921913146973,3694,0.9874213337898254,0.003144681453704834,0.9983300566673279,-0.0020040273666381836
2022-04-04-23:09:45,101,citeseer,0.1,100,30,0.25,20,500,0.6712707281112671,0.6349152326583862,-0.4419889450073242,-0.02101689577102661,762,0.9530386924743652,0.002762436866760254,0.9579660892486572,-0.02711862325668335,2382,0.9889503121376038,0.008287310600280762,0.995593249797821,0.0010169148445129395,1513,1.0,-0.0027623772621154785,0.997288167476654,-0.0010169744491577148,1710,0.9972376227378845,-0.008287310600280762,0.9976271390914917,-0.0013559460639953613,2913,0.9972376227378845,0.0,0.9959322214126587,-0.0027118921279907227
2022-04-04-23:10:03,102,citeseer,0.1,100,30,0.25,20,500,0.6595744490623474,0.6604089736938477,-0.534954383969307,-0.04123365879058838,2089,1.0,-0.054711222648620605,0.9939658045768738,0.00033527612686157227,2842,0.9878419637680054,-0.25531917810440063,0.9875963926315308,0.003687560558319092,1482,0.9908814430236816,-0.07902735471725464,0.9963124394416809,-0.0013409256935119629,854,0.9939209818840027,-0.06990879774093628,0.993630588054657,-0.003352344036102295,2319,0.978723406791687,-0.0030394792556762695,0.9882668852806091,0.0053637027740478516
2022-04-04-23:10:23,103,citeseer,0.1,100,30,0.25,20,500,0.581818163394928,0.6173708438873291,-0.4333333224058151,-0.05097246170043945,2107,0.9878787398338318,0.0,0.993293046951294,-0.0013413429260253906,1116,0.9727272391319275,0.024242401123046875,0.9678068161010742,0.0184440016746521,1009,0.9909090399742126,-0.009090900421142578,0.996646523475647,-0.0010060667991638184,2671,0.9909090399742126,0.0,0.993293046951294,-0.002347409725189209,3624,0.9969696402549744,-0.009090900421142578,0.996646523475647,0.0
2022-04-04-23:10:41,104,citeseer,0.1,100,30,0.25,20,500,0.615160346031189,0.6726170182228088,-0.47230319678783417,-0.07982486486434937,1845,1.0,-0.005830883979797363,0.9892219305038452,0.0010104775428771973,713,0.9941691160202026,-0.0029154419898986816,0.9942741394042969,0.002020895481109619,983,1.0,0.0,0.9949477910995483,-0.0013472437858581543,2346,0.9970845580101013,0.0,0.992590069770813,0.005389034748077393,1347,0.9970845580101013,-0.0029154419898986816,0.9942741394042969,0.0033681392669677734
