date,seed,dataset,protect_size,reg_epochs,ptb_epochs,ptb_rate,ptb_sample_num,ptb_sample_size,base_g0,base_gX,d_g0,d_gX,t0_task,t0_g0,d_t0_g0,t0_gX,d_t0_gX,t1_task,t1_g0,d_t1_g0,t1_gX,d_t1_gX,t2_task,t2_g0,d_t2_g0,t2_gX,d_t2_gX,t3_task,t3_g0,d_t3_g0,t3_gX,d_t3_gX,t4_task,t4_g0,d_t4_g0,t4_gX,d_t4_gX
2022-04-05-19:04:41,100,cora,0.1,100,30,0.1,20,500,0.6940298080444336,0.7557377219200134,-0.33582085371017456,-0.008196711540222168,117,0.996268630027771,0.0,0.9959016442298889,-0.003278672695159912,341,1.0,0.0,0.9954918026924133,-0.0008196830749511719,272,0.996268630027771,0.0,0.9918032884597778,0.002868831157684326,1049,0.9402984976768494,-0.01865673065185547,0.938524603843689,0.015573740005493164,1409,0.9291044473648071,0.059701502323150635,0.9278688430786133,0.0450819730758667
2022-04-05-19:04:59,100,cora,0.1,100,30,0.25,20,500,0.6940298080444336,0.7557377219200134,-0.4216417670249939,-0.03442627191543579,117,0.996268630027771,-0.0037313103675842285,0.9959016442298889,-0.0024590492248535156,341,1.0,-0.003731369972229004,0.9954918026924133,-0.0008196830749511719,272,0.996268630027771,0.0,0.9918032884597778,0.005737721920013428,1049,0.9402984976768494,-0.003731369972229004,0.938524603843689,0.002868831157684326,1409,0.9291044473648071,0.05597013235092163,0.9278688430786133,0.03729510307312012
2022-04-05-19:05:17,100,cora,0.1,100,30,0.5,20,500,0.6940298080444336,0.7557377219200134,-0.5298507064580917,-0.0413934588432312,117,0.996268630027771,0.0,0.9959016442298889,0.0008196830749511719,341,1.0,0.0,0.9954918026924133,-0.0008196830749511719,272,0.996268630027771,0.0,0.9918032884597778,0.004918038845062256,1049,0.9402984976768494,-0.1007462739944458,0.938524603843689,-0.056557416915893555,1409,0.9291044473648071,0.059701502323150635,0.9278688430786133,0.018442630767822266
2022-04-05-19:05:34,101,cora,0.1,100,30,0.1,20,500,0.7721088528633118,0.7605633735656738,-0.36054423451423645,-0.02402651309967041,941,0.9863945245742798,0.0034013986587524414,0.9838442802429199,0.007870733737945557,970,0.9863945245742798,-0.003401339054107666,0.9884009957313538,-0.007870733737945557,607,0.9863945245742798,0.0,0.9908865094184875,0.002485513687133789,918,0.976190447807312,0.006802737712860107,0.9817730188369751,0.007870733737945557,321,0.9897959232330322,0.003401339054107666,0.9871582388877869,0.0020712614059448242
2022-04-05-19:05:53,101,cora,0.1,100,30,0.25,20,500,0.7721088528633118,0.7605633735656738,-0.5204081833362579,-0.058409273624420166,941,0.9863945245742798,0.0034013986587524414,0.9838442802429199,0.007870733737945557,970,0.9863945245742798,0.006802737712860107,0.9884009957313538,0.0037282705307006836,607,0.9863945245742798,0.0,0.9908865094184875,0.0041425228118896484,918,0.976190447807312,0.006802737712860107,0.9817730188369751,0.008284986019134521,321,0.9897959232330322,0.006802678108215332,0.9871582388877869,0.004971027374267578
2022-04-05-19:06:11,101,cora,0.1,100,30,0.5,20,500,0.7721088528633118,0.7605633735656738,-0.5578231364488602,-0.07705050706863403,941,0.9863945245742798,0.0034013986587524414,0.9838442802429199,0.008284986019134521,970,0.9863945245742798,0.006802737712860107,0.9884009957313538,0.0037282705307006836,607,0.9863945245742798,0.0,0.9908865094184875,0.005799531936645508,918,0.976190447807312,0.006802737712860107,0.9817730188369751,0.009527742862701416,321,0.9897959232330322,0.006802678108215332,0.9871582388877869,0.0041425228118896484
2022-04-05-19:06:28,102,cora,0.1,100,30,0.1,20,500,0.7752808928489685,0.7910692095756531,-0.40449437499046326,-0.03687012195587158,832,1.0,0.0,0.9938549995422363,0.0,305,0.9475655555725098,0.022471904754638672,0.9647685289382935,0.002048313617706299,1119,0.9700374603271484,0.0037453174591064453,0.9754198789596558,-0.006554663181304932,850,0.9962546825408936,0.0,0.9950839877128601,0.0,257,0.9887640476226807,0.007490634918212891,0.9881196022033691,0.006145060062408447
2022-04-05-19:06:46,102,cora,0.1,100,30,0.25,20,500,0.7752808928489685,0.7910692095756531,-0.5318351984024048,-0.05858254432678223,832,1.0,0.0,0.9938549995422363,0.00040966272354125977,305,0.9475655555725098,0.018726587295532227,0.9647685289382935,-0.027038097381591797,1119,0.9700374603271484,0.0037453174591064453,0.9754198789596558,-0.007783651351928711,850,0.9962546825408936,0.0,0.9950839877128601,-0.0008193254470825195,257,0.9887640476226807,0.007490634918212891,0.9881196022033691,0.004916012287139893
2022-04-05-19:07:05,102,cora,0.1,100,30,0.5,20,500,0.7752808928489685,0.7910692095756531,-0.6217228323221207,-0.07742726802825928,832,1.0,0.0,0.9938549995422363,-0.006145060062408447,305,0.9475655555725098,0.026217222213745117,0.9647685289382935,-0.006145000457763672,1119,0.9700374603271484,0.0037453174591064453,0.9754198789596558,0.006964385509490967,850,0.9962546825408936,0.0,0.9950839877128601,-0.0012289881706237793,257,0.9887640476226807,0.007490634918212891,0.9881196022033691,-0.004506349563598633
2022-04-05-19:07:22,103,cora,0.1,100,30,0.1,20,500,0.7816901206970215,0.7875412702560425,-0.34507042169570923,-0.015676558017730713,629,0.9894366264343262,0.0,0.9909241199493408,-0.008663356304168701,89,0.9683098196983337,0.010563373565673828,0.9504950642585754,0.004950523376464844,1428,0.9964788556098938,0.0,0.9773102402687073,0.005775570869445801,872,0.98591548204422,0.0,0.9702970385551453,-0.019801974296569824,771,0.9929577112197876,0.007042288780212402,0.9884488582611084,0.0008251070976257324
