seed,dataset,protect_size,reg_epochs,ptb_epochs,ptb_rate,ptb_sample_num,ptb_sample_size,ratio_g0,ratio_gX,ratio_g0gX,base_g0,base_gX,d_g0,d_gX,edges,add_g0,add_gX,add_g0gX,remove_g0,remove_gX,remove_g0gX
100,cora,0.1,100,30,0.25,20,500,0.298377365,0.189750016,0.511872649,0.694029808,0.755737722,-0.462686524,-0.045081973,2558,637 (11.77% similar),290 (21.72% similar),1628 (4.79% similar),0,1 (100.00% similar),2 (50.00% similar)
101,cora,0.1,100,30,0.25,20,500,0.250389665,0.251857489,0.497752815,0.772108853,0.760563374,-0.523809537,-0.042667747,2666,816 (13.48% similar),291 (29.90% similar),1559 (4.49% similar),0,0,0
102,cora,0.1,100,30,0.25,20,500,0.237484246,0.2627047,0.499811113,0.775280893,0.79106921,-0.554307103,-0.058172882,2713,661 (16.49% similar),293 (21.50% similar),1755 (4.62% similar),1 (0.00% similar),0,3 (33.33% similar)
103,cora,0.1,100,30,0.25,20,500,0.298199356,0.199178144,0.502622545,0.781690121,0.78754127,-0.521126747,-0.04207921,2714,742 (9.30% similar),272 (21.69% similar),1699 (4.94% similar),1 (100.00% similar),0,0
104,cora,0.1,100,30,0.25,20,500,0.261968553,0.233522534,0.504508913,0.772727251,0.757638335,-0.531468511,-0.047481418,2630,658 (13.68% similar),297 (22.56% similar),1675 (5.01% similar),0,0,0
100,citeseer,0.1,100,30,0.25,20,500,0.304375112,0.197494805,0.498130053,0.694968522,0.640614569,-0.496855319,-0.077822268,2267,530 (13.02% similar),199 (23.12% similar),1538 (7.35% similar),0,0,0
101,citeseer,0.1,100,30,0.25,20,500,0.292398185,0.209776789,0.497824997,0.671270728,0.634915233,-0.441988945,-0.021016896,2269,646 (13.31% similar),244 (26.23% similar),1378 (6.60% similar),0,0,1 (0.00% similar)
102,citeseer,0.1,100,30,0.25,20,500,0.291304529,0.197303504,0.511391997,0.659574449,0.660408974,-0.534954384,-0.041233659,2315,692 (18.35% similar),200 (24.00% similar),1423 (5.90% similar),0,0,0
103,citeseer,0.1,100,30,0.25,20,500,0.244352758,0.264743179,0.490904063,0.581818163,0.617370844,-0.433333322,-0.050972462,2159,625 (18.72% similar),195 (29.23% similar),1338 (6.58% similar),0,0,1 (100.00% similar)
104,citeseer,0.1,100,30,0.25,20,500,0.342471898,0.143960163,0.513567984,0.615160346,0.672617018,-0.472303197,-0.079824865,2283,645 (17.52% similar),189 (21.69% similar),1448 (7.94% similar),0,0,1 (100.00% similar)
100,Polblogs,0.1,100,30,0.25,20,500,0.242516354,0.265604198,0.491879433,0.800000012,0.854612529,-0.325925946,-0.00147599,3539,796 (51.63% similar),510 (51.57% similar),2227 (41.58% similar),0,1 (100.00% similar),5 (60.00% similar)
101,Polblogs,0.1,100,30,0.25,20,500,0.310838342,0.201192319,0.487969339,0.841059625,0.837938786,-0.40397352,0.010455549,4742,1067 (21.93% similar),417 (58.27% similar),3252 (30.54% similar),2 (50.00% similar),2 (100.00% similar),2 (100.00% similar)
102,Polblogs,0.1,100,30,0.25,20,500,0.364605725,0.109255344,0.526138902,0.76219511,0.796380103,-0.402439028,-0.012820482,3744,919 (52.77% similar),524 (58.02% similar),2294 (35.18% similar),0,0,7 (28.57% similar)
103,Polblogs,0.1,100,30,0.25,20,500,0.30871582,0.166735053,0.524549186,0.828947365,0.825859487,-0.315789461,-0.002989531,3574,1021 (50.64% similar),430 (62.79% similar),2113 (59.20% similar),0,1 (100.00% similar),9 (100.00% similar)
104,Polblogs,0.1,100,30,0.25,20,500,0.324296623,0.17773059,0.497972786,0.769696951,0.75245285,-0.296969682,0.081509411,3547,1009 (44.10% similar),381 (66.67% similar),2155 (32.06% similar),1 (0.00% similar),1 (0.00% similar),0
100,flickr,0.1,100,30,0.25,20,500,0.44386065,0.005350977,0.550788343,0.473901123,0.471739441,-0.332417607,-0.035343945,18070,11146 (10.31% similar),102 (24.51% similar),6779 (5.86% similar),30 (26.67% similar),0,13 (15.38% similar)
101,flickr,0.1,100,30,0.25,20,500,0.439554393,0.016087525,0.544358134,0.489717215,0.497425348,-0.336760923,-0.035309702,19835,12189 (10.76% similar),171 (15.20% similar),7435 (5.73% similar),20 (25.00% similar),0,20 (5.00% similar)
102,flickr,0.1,100,30,0.25,20,500,0.398384213,0.088106856,0.513508916,0.467805505,0.481655419,-0.308804199,-0.011593789,18991,11660 (12.02% similar),142 (18.31% similar),7142 (5.88% similar),34 (29.41% similar),0,13 (23.08% similar)
103,flickr,0.1,100,30,0.25,20,500,0.446676642,0.0145811,0.538742304,0.480519474,0.488905221,-0.324675322,-0.010433525,20153,12695 (9.62% similar),133 (17.29% similar),7277 (6.50% similar),36 (30.56% similar),0,12 (25.00% similar)
104,flickr,0.1,100,30,0.25,20,500,0.457492501,3.24E-07,0.542507172,0.526708066,0.508862615,-0.33416149,-0.027474165,18851,11941 (11.74% similar),116 (14.66% similar),6751 (6.47% similar),28 (17.86% similar),0,15 (6.67% similar)
100,BlogCatalog,0.1,100,30,0.25,20,500,0.381571651,0.077377073,0.541051328,0.708582819,0.715654969,-0.333333313,0.009371638,23653,12203 (10.36% similar),237 (24.89% similar),11030 (9.26% similar),90 (35.56% similar),4 (75.00% similar),89 (19.10% similar)
101,BlogCatalog,0.1,100,30,0.25,20,500,0.341843337,0.16943191,0.488724798,0.734545469,0.705768406,-0.314545453,-0.033146799,22467,11625 (9.31% similar),233 (25.32% similar),10445 (8.39% similar),90 (21.11% similar),1 (100.00% similar),73 (27.40% similar)
102,BlogCatalog,0.1,100,30,0.25,20,500,0.368817925,0.111031063,0.520151019,0.71290946,0.679067791,-0.304431617,0.004490077,21816,10962 (10.91% similar),264 (20.83% similar),10395 (9.46% similar),105 (29.52% similar),2 (50.00% similar),88 (18.18% similar)
103,BlogCatalog,0.1,100,30,0.25,20,500,0.358484238,0.137482911,0.50403291,0.726744175,0.706410289,-0.360465109,-0.019230783,23565,12058 (9.60% similar),240 (22.08% similar),11100 (8.64% similar),88 (31.82% similar),4 (75.00% similar),75 (12.00% similar)
104,BlogCatalog,0.1,100,30,0.25,20,500,0.346149921,0.154958457,0.498891652,0.657355666,0.685984135,-0.21787709,-0.002575696,20475,10417 (11.13% similar),231 (24.68% similar),9639 (10.74% similar),110 (24.55% similar),3 (66.67% similar),75 (32.00% similar)
